"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"16","L1 1","gp",14,"b","!","{The_doctor_woke_himself_up}",1,3844,-0.5,-0.5,3844
"62","L1 1","gp",9,"a","!","{The_pianist_calmed_himself_down}",1,3042,-0.5,0.5,3042
"68","L1 1","gp",6,"b","!","{The_two_kids_fought_each_other}",1,3319,-0.5,-0.5,3319
"75","L1 1","gp",5,"a","!","{The_father_washed_the_boy}",0,2108,-0.5,0.5,2108
"100","L1 1","gp",17,"a","!","{The_two_men_fought_each_other}",1,3400,-0.5,0.5,3400
"106","L1 1","gp",2,"b","!","{The_mother_dressed_herself}",1,3563,-0.5,-0.5,3563
"116","L1 1","gp",18,"b","!","{The_father_washed_himself}",1,2748,-0.5,-0.5,2748
"126","L1 1","gp",1,"a","!","{The_lawyer_calmed_himself_down}",1,4765,-0.5,0.5,4765
"130","L1 1","gp",10,"b","!","{The_two_soldiers_fought_each_other}",1,3444,-0.5,-0.5,3444
"136","L1 1","gp",13,"a","!","{The_girl_calmed_herself_down}",1,1904,-0.5,0.5,1904
"147","L1 1","gp",21,"a","!","{Anna_dressed_herself}",1,1626,-0.5,0.5,1626
"151","L1 1","gp",22,"b","!","{The_two_footballers_fought_each_other}",1,2226,-0.5,-0.5,2226
"195","L1 2","gp",16,"a","!","{The_researcher_woke_himself_up}",1,3657,-0.5,0.5,3657
"202","L1 2","gp",17,"b","!","{The_two_men_fought_each_other}",1,2911,-0.5,-0.5,2911
"209","L1 2","gp",4,"a","!","{The_two_children_hugged_their_friend}",0,2561,-0.5,0.5,2561
"261","L1 2","gp",20,"a","!","{The_two_friends_met_each_other}",1,2585,-0.5,0.5,2585
"269","L1 2","gp",8,"a","!","{Mary_dressed_the_boy}",0,1956,-0.5,0.5,1956
"275","L1 2","gp",1,"b","!","{The_lawyer_calmed_himself_down}",1,2505,-0.5,-0.5,2505
"286","L1 2","gp",12,"a","!","{The_nurse_washed_the_baby}",0,2174,-0.5,0.5,2174
"289","L1 2","gp",24,"a","!","{The_two_actresses_met_the_director}",0,2652,-0.5,0.5,2652
"307","L1 2","gp",9,"b","!","{The_pianist_calmed_himself_down}",1,3468,-0.5,-0.5,3468
"314","L1 2","gp",5,"b","!","{The_father_washed_himself}",1,1921,-0.5,-0.5,1921
"342","L1 2","gp",21,"b","!","{Anna_dressed_herself}",1,1236,-0.5,-0.5,1236
"352","L1 2","gp",13,"b","!","{The_girl_calmed_herself_down}",1,1454,-0.5,-0.5,1454
"379","L1 3","gp",4,"b","!","{The_two_children_hugged_each_other}",1,4729,-0.5,-0.5,4729
"382","L1 3","gp",20,"b","!","{The_two_friends_met_each_other}",1,3223,-0.5,-0.5,3223
"394","L1 3","gp",12,"b","!","{The_nurse_washed_herself}",1,3367,-0.5,-0.5,3367
"430","L1 3","gp",24,"b","!","{The_two_actresses_met_each_other}",1,2743,-0.5,-0.5,2743
"436","L1 3","gp",15,"a","!","{The_aunt_dressed_herself}",1,2633,-0.5,0.5,2633
"448","L1 3","gp",23,"a","!","{The_mother_washed_herself}",1,1790,-0.5,0.5,1790
"478","L1 3","gp",7,"a","!","{The_man_woke_himself_up}",1,3518,-0.5,0.5,3518
"482","L1 3","gp",16,"b","!","{The_researcher_woke_himself_up}",1,2973,-0.5,-0.5,2973
"499","L1 3","gp",11,"a","!","{The_lady_woke_herself_up}",1,2909,-0.5,0.5,2909
"508","L1 3","gp",19,"a","!","{The_coach_calmed_himself_down}",1,3495,-0.5,0.5,3495
"525","L1 3","gp",3,"a","!","{The_two_journalists_met_each_other}",1,2618,-0.5,0.5,2618
"535","L1 3","gp",8,"b","!","{Mary_dressed_herself}",1,3633,-0.5,-0.5,3633
"559","L1 4","gp",11,"b","!","{The_lady_woke_herself_up}",1,2515,-0.5,-0.5,2515
"585","L1 4","gp",6,"a","!","{The_two_kids_fought_each_other}",1,2739,-0.5,0.5,2739
"603","L1 4","gp",2,"a","!","{The_mother_dressed_the_baby}",0,1869,-0.5,0.5,1869
"607","L1 4","gp",15,"b","!","{The_aunt_dressed_herself}",1,1286,-0.5,-0.5,1286
"628","L1 4","gp",14,"a","!","{The_doctor_woke_himself_up}",1,1580,-0.5,0.5,1580
"632","L1 4","gp",23,"b","!","{The_mother_washed_the_child}",0,3461,-0.5,-0.5,3461
"645","L1 4","gp",22,"a","!","{The_two_footballers_fought_each_other}",1,2300,-0.5,0.5,2300
"652","L1 4","gp",7,"b","!","{The_man_woke_himself_up}",1,1120,-0.5,-0.5,1120
"670","L1 4","gp",3,"b","!","{The_two_journalists_met_each_other}",1,2919,-0.5,-0.5,2919
"688","L1 4","gp",10,"a","!","{The_two_soldiers_fought_each_other}",1,2556,-0.5,0.5,2556
"694","L1 4","gp",18,"a","!","{The_father_washed_the_baby}",0,1469,-0.5,0.5,1469
"708","L1 4","gp",19,"b","!","{The_coach_calmed_himself_down}",1,2314,-0.5,-0.5,2314
"765","L1 5","gp",1,"a","!","{The_lawyer_calmed_himself_down}",1,2875,-0.5,0.5,2875
"771","L1 5","gp",2,"b","!","{The_mother_dressed_the_baby}",0,3629,-0.5,-0.5,3629
"781","L1 5","gp",18,"b","!","{The_father_washed_the_baby}",0,3630,-0.5,-0.5,3630
"798","L1 5","gp",21,"a","!","{Anna_dressed_the_child}",0,1624,-0.5,0.5,1624
"808","L1 5","gp",13,"a","!","{The_girl_calmed_the_boy_down}",0,3354,-0.5,0.5,3354
"827","L1 5","gp",14,"b","!","{The_doctor_woke_himself_up}",1,3330,-0.5,-0.5,3330
"842","L1 5","gp",6,"b","!","{The_two_kids_fought_each_other}",1,3234,-0.5,-0.5,3234
"845","L1 5","gp",22,"b","!","{The_two_footballers_fought_each_other}",1,2809,-0.5,-0.5,2809
